,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,SEASON
34,Trey Lyles,PF,23,DEN,3,0,8,0.0,19.4,.000,0.0,6.5,.000,0.0,13.0,.000,0.0,0.0,,6.5,0.0,6.5,13.0,0.0,0.0,0.0,6.5,0.0,,59,121,2018-19
35,Paul Millsap,PF,33,DEN,14,14,469,8.1,17.3,.465,1.3,4.2,.316,6.7,13.1,.513,5.2,6.7,.770,2.7,7.7,10.4,1.2,1.3,1.7,2.0,5.3,22.7,,112,111,2018-19
36,Monte Morris,PG,23,DEN,14,0,224,7.6,19.9,.384,0.0,3.0,.000,7.6,16.9,.452,2.1,3.0,.692,0.7,3.7,4.4,8.3,1.2,0.2,1.4,3.5,17.4,,98,116,2018-19
37,Jamal Murray,PG,21,DEN,14,14,508,10.9,25.7,.425,2.9,8.5,.337,8.1,17.2,.467,5.7,6.3,.903,1.9,4.3,6.2,6.7,1.4,0.2,2.2,2.4,30.4,,115,115,2018-19
38,Mason Plumlee,C,28,DEN,14,0,218,5.7,11.2,.511,0.0,0.2,.000,5.7,10.9,.522,3.8,6.7,.571,6.2,8.6,14.7,5.0,1.7,2.4,1.9,9.3,15.2,,122,109,2018-19
39,Jarred Vanderbilt,PF,19,DEN,3,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,10.4,10.4,0.0,0.0,10.4,0.0,0.0,0.0,,,103,2018-19
40,Bruce Brown,SG,22,DET,4,2,57,4.2,11.6,.357,0.8,4.2,.200,3.3,7.5,.444,1.7,1.7,1.000,0.8,5.8,6.7,1.7,1.7,0.8,1.7,6.7,10.8,,85,120,2018-19
41,José Calderón,PG,37,DET,3,0,10,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,23.7,4.7,0.0,0.0,0.0,0.0,,229,117,2018-19
42,Andre Drummond,C,25,DET,4,4,127,9.0,20.2,.444,0.0,0.4,.000,9.0,19.8,.453,3.4,7.8,.429,7.5,11.9,19.4,3.4,2.2,1.9,4.1,6.3,21.3,,92,114,2018-19
43,Wayne Ellington,SG,31,DET,4,4,131,4.0,12.7,.314,2.5,8.0,.318,1.4,4.7,.308,0.7,0.7,1.000,1.1,4.3,5.4,1.8,1.1,0.0,0.7,1.4,11.2,,91,123,2018-19
44,Langston Galloway,SG,27,DET,4,0,110,4.7,14.6,.324,3.9,10.8,.360,0.9,3.9,.222,0.0,0.0,,0.9,5.6,6.5,1.7,0.9,1.7,0.9,4.3,13.4,,92,121,2018-19
45,Blake Griffin,PF,29,DET,2,2,58,14.7,31.9,.462,4.9,10.6,.462,9.8,21.2,.462,5.7,5.7,1.000,3.3,6.5,9.8,9.8,1.6,0.0,4.9,7.4,40.0,,111,120,2018-19
46,Reggie Jackson,PG,28,DET,4,4,108,12.3,28.5,.431,3.9,9.2,.429,8.3,19.3,.432,2.6,3.1,.857,2.2,3.5,5.7,12.3,1.3,0.0,2.2,5.3,31.2,,112,123,2018-19
47,Luke Kennard,SG,22,DET,4,2,133,8.2,16.7,.489,3.2,5.3,.600,5.0,11.4,.438,1.8,2.1,.833,0.0,5.7,5.7,2.5,1.1,0.4,1.1,2.1,21.4,,115,122,2018-19
48,Jon Leuer,PF,29,DET,1,0,5,9.5,19.0,.500,0.0,0.0,,9.5,19.0,.500,0.0,9.5,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,19.0,,77,127,2018-19
49,Thon Maker,PF,21,DET,4,2,69,4.8,17.9,.269,0.0,8.2,.000,4.8,9.6,.500,5.5,6.2,.889,2.7,3.4,6.2,2.7,0.0,2.7,2.1,9.6,15.1,,81,122,2018-19
50,Zaza Pachulia,C,34,DET,2,0,22,4.3,12.9,.333,0.0,0.0,,4.3,12.9,.333,2.2,4.3,.500,2.2,17.2,19.4,0.0,0.0,0.0,2.2,6.5,10.8,,71,119,2018-19
51,Glenn Robinson III,SF,25,DET,3,0,36,5.3,19.7,.267,1.3,10.5,.125,3.9,9.2,.429,5.3,5.3,1.000,2.6,6.6,9.2,2.6,2.6,0.0,1.3,6.6,17.1,,87,118,2018-19
52,Ish Smith,PG,30,DET,4,0,81,5.9,22.2,.263,0.6,4.1,.143,5.3,18.1,.290,1.8,2.3,.750,0.6,5.9,6.4,8.2,1.8,0.6,2.3,4.7,14.0,,72,120,2018-19
53,Khyri Thomas,SG,22,DET,3,0,15,19.0,37.9,.500,3.2,12.6,.250,15.8,25.3,.625,3.2,3.2,1.000,0.0,6.3,6.3,0.0,6.3,0.0,0.0,0.0,44.2,,107,111,2018-19
54,Jordan Bell,C,24,GSW,15,2,106,7.8,14.3,.548,0.0,0.0,,7.8,14.3,.548,3.2,4.6,.700,3.2,5.5,8.8,5.1,1.8,3.2,0.9,6.0,18.9,,129,109,2018-19
55,Andrew Bogut,C,34,GSW,19,6,179,6.6,10.1,.649,0.0,0.0,,6.6,10.1,.649,1.1,1.4,.800,6.3,13.9,20.2,5.7,1.4,1.6,2.7,10.4,14.2,,131,107,2018-19
56,Quinn Cook,PG,25,GSW,17,0,193,7.1,17.8,.400,2.8,8.6,.324,4.3,9.1,.472,1.0,1.0,1.000,0.5,4.1,4.6,3.0,0.8,0.3,1.5,3.3,18.0,,100,117,2018-19
57,DeMarcus Cousins,C,28,GSW,8,5,133,7.7,19.5,.396,1.1,4.4,.250,6.6,15.1,.439,5.9,9.2,.640,3.3,11.0,14.4,7.0,1.8,2.2,7.0,8.8,22.4,,90,107,2018-19
58,Stephen Curry,PG,30,GSW,22,22,846,11.0,24.9,.441,5.3,14.1,.377,5.7,10.8,.524,8.6,9.1,.943,1.0,6.7,7.6,7.3,1.4,0.2,3.8,3.9,35.9,,121,114,2018-19
59,Kevin Durant,SF,30,GSW,12,12,442,13.8,26.9,.514,3.9,8.9,.438,10.0,18.0,.552,11.3,12.5,.903,0.1,6.4,6.5,6.0,1.4,1.3,4.8,4.2,42.9,,121,112,2018-19
60,Jacob Evans,SG,21,GSW,7,0,18,5.4,13.6,.400,2.7,5.4,.500,2.7,8.2,.333,0.0,0.0,,0.0,2.7,2.7,2.7,0.0,0.0,5.4,2.7,13.6,,74,120,2018-19
61,Draymond Green,PF,28,GSW,22,22,851,6.6,13.2,.498,0.7,3.3,.228,5.8,9.9,.587,2.9,4.1,.718,2.4,10.5,12.8,10.8,1.8,1.9,4.8,4.9,16.8,,110,108,2018-19
