,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,SEASON
0,Jaylen Brown,SG,23,BOS,17,17,672,10.1,21.3,.476,3.2,8.9,.358,7.0,12.4,.560,3.9,4.7,.841,1.8,7.6,9.4,2.9,1.9,0.7,3.0,3.6,27.4,,110,106,2019-20
1,Carsen Edwards,SG,21,BOS,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,16.6,16.6,0.0,0.0,0.0,0.0,0.0,0.0,,,106,2019-20
2,Tacko Fall,C,24,BOS,2,0,3,16.6,16.6,1.000,0.0,0.0,,16.6,16.6,1.000,16.6,33.2,.500,0.0,16.6,16.6,0.0,0.0,0.0,0.0,0.0,49.8,,152,106,2019-20
3,Javonte Green,SG,26,BOS,1,0,6,8.3,16.6,.500,8.3,16.6,.500,0.0,0.0,,0.0,0.0,,0.0,8.3,8.3,0.0,0.0,0.0,0.0,8.3,24.9,,140,110,2019-20
4,Gordon Hayward,SF,29,BOS,5,1,157,6.3,15.9,.400,2.2,7.6,.292,4.1,8.2,.500,2.2,2.5,.875,1.0,5.4,6.3,4.4,2.2,0.6,2.2,3.2,17.1,,102,106,2019-20
5,Enes Kanter,C,27,BOS,11,0,102,10.7,20.5,.524,0.5,0.5,1.000,10.2,20.0,.512,2.4,4.9,.500,9.3,11.7,21.0,3.4,0.0,0.0,2.0,9.3,24.4,,119,108,2019-20
6,Romeo Langford,SG,20,BOS,7,0,46,4.3,10.8,.400,1.1,2.2,.500,3.2,8.7,.375,1.1,2.2,.500,0.0,3.2,3.2,2.2,1.1,0.0,2.2,4.3,10.8,,84,111,2019-20
7,Semi Ojeleye,PF,25,BOS,13,0,122,2.9,11.4,.250,2.0,9.4,.217,0.8,2.0,.400,0.8,0.8,1.000,0.8,4.1,4.9,0.4,1.2,0.0,0.4,3.7,8.6,,80,110,2019-20
8,Vincent Poirier,C,26,BOS,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,24.9,24.9,0.0,0.0,0.0,0.0,,232,59,2019-20
9,Marcus Smart,SG,25,BOS,17,16,648,6.0,15.2,.394,3.1,9.4,.333,2.8,5.8,.493,3.8,4.3,.875,0.8,6.1,6.8,6.0,1.6,0.6,3.5,4.2,18.9,,106,107,2019-20
10,Jayson Tatum,PF,21,BOS,17,17,690,10.5,24.1,.434,3.4,9.1,.373,7.1,15.0,.471,7.2,8.9,.813,1.6,10.7,12.3,6.1,1.2,1.4,3.5,3.0,31.5,,112,104,2019-20
11,Daniel Theis,C,27,BOS,17,17,482,6.3,12.1,.521,0.4,2.7,.154,5.9,9.4,.626,2.7,3.4,.788,3.3,9.2,12.5,2.6,0.6,2.2,1.5,6.8,15.7,,119,106,2019-20
12,Kemba Walker,PG,29,BOS,17,17,628,9.0,20.3,.441,3.1,10.0,.310,5.9,10.3,.569,5.5,6.4,.852,0.5,5.0,5.5,6.8,1.2,0.6,2.5,3.4,26.5,,116,109,2019-20
13,Brad Wanamaker,PG,30,BOS,17,0,273,5.3,10.9,.483,2.2,4.9,.444,3.1,6.0,.515,2.6,2.9,.875,0.4,5.8,6.2,5.5,2.2,0.7,3.3,5.8,15.3,,110,106,2019-20
14,Tremont Waters,PG,22,BOS,1,0,2,0.0,24.9,.000,0.0,24.9,.000,0.0,0.0,,0.0,0.0,,0.0,24.9,24.9,24.9,0.0,0.0,0.0,0.0,0.0,,56,101,2019-20
15,Grant Williams,PF,21,BOS,17,0,170,4.4,7.6,.577,2.9,5.0,.588,1.5,2.6,.556,2.0,2.9,.700,2.0,5.6,7.6,1.8,0.6,1.5,1.2,9.7,13.8,,142,109,2019-20
16,Robert Williams,C,22,BOS,13,0,149,7.7,10.4,.742,0.0,0.3,.000,7.7,10.0,.767,0.7,2.0,.333,7.3,9.7,17.0,3.3,1.0,2.0,2.3,6.0,16.0,,137,105,2019-20
17,Jarrett Allen,C,21,BRK,4,4,132,4.9,8.4,.583,0.0,0.0,,4.9,8.4,.583,4.6,5.6,.813,6.0,14.8,20.7,3.2,0.7,2.5,3.9,2.5,14.4,,117,117,2019-20
18,Justin Anderson,SG,26,BRK,3,0,28,8.3,19.9,.417,8.3,18.2,.455,0.0,1.7,.000,6.6,6.6,1.000,0.0,13.3,13.3,5.0,0.0,1.7,3.3,3.3,31.5,,121,120,2019-20
19,Chris Chiozza,PG,24,BRK,4,0,65,5.7,17.1,.333,3.6,11.4,.313,2.1,5.7,.375,1.4,2.9,.500,0.7,3.6,4.3,12.1,3.6,0.0,2.1,5.0,16.4,,104,119,2019-20
20,Donta Hall,C,22,BRK,3,0,20,7.0,11.6,.600,0.0,0.0,,7.0,11.6,.600,2.3,9.3,.250,7.0,4.6,11.6,0.0,0.0,4.6,2.3,2.3,16.2,,100,120,2019-20
21,Joe Harris,SF,28,BRK,2,2,72,7.7,14.8,.522,4.5,7.7,.583,3.2,7.1,.455,1.3,2.6,.500,1.3,11.6,12.9,1.3,0.6,0.0,1.9,5.8,21.3,,112,122,2019-20
22,Tyler Johnson,SG,27,BRK,4,2,93,10.5,22.9,.457,5.5,14.0,.393,5.0,9.0,.556,1.0,1.0,1.000,0.0,3.5,3.5,4.5,0.0,0.5,1.5,5.5,27.4,,110,127,2019-20
23,Rodions Kurucs,PF,21,BRK,4,1,58,8.8,16.0,.550,0.0,6.4,.000,8.8,9.6,.917,0.0,1.6,.000,2.4,8.0,10.4,2.4,0.8,1.6,2.4,7.2,17.6,,95,121,2019-20
24,Caris LeVert,SG,25,BRK,4,4,140,8.9,24.2,.370,3.0,7.0,.429,6.0,17.2,.346,6.0,8.3,.720,2.7,5.3,8.0,12.6,1.7,0.3,4.3,2.3,26.8,,104,122,2019-20
26,Jeremiah Martin,PG,23,BRK,3,0,27,6.9,24.0,.286,5.2,8.6,.600,1.7,15.5,.111,1.7,1.7,1.000,0.0,5.2,5.2,6.9,0.0,1.7,3.4,3.4,20.6,,83,124,2019-20
27,Timothé Luwawu-Cabarrot,SF,20,BRK,3,0,39,2.4,13.1,.182,0.0,7.1,.000,2.4,5.9,.400,11.9,16.6,.714,1.2,2.4,3.6,4.8,0.0,1.2,3.6,2.4,16.6,,86,127,2019-20
28,Garrett Temple,SG,33,BRK,4,4,137,5.8,16.6,.347,3.0,12.2,.250,2.7,4.4,.615,1.7,2.0,.833,0.0,3.7,3.7,2.7,1.0,0.3,2.0,4.1,16.2,,87,125,2019-20
29,Lance Thomas,PF,31,BRK,3,0,17,2.7,13.6,.200,0.0,5.5,.000,2.7,8.2,.333,5.5,10.9,.500,2.7,5.5,8.2,0.0,0.0,2.7,0.0,5.5,10.9,,73,123,2019-20
30,J.J. Barea,PG,35,DAL,1,0,5,0.0,9.4,.000,0.0,0.0,,0.0,9.4,.000,28.2,28.2,1.000,0.0,0.0,0.0,0.0,0.0,0.0,9.4,9.4,28.2,,96,129,2019-20
31,Trey Burke,PG,27,DAL,6,3,156,9.0,17.8,.508,2.4,5.1,.471,6.6,12.7,.524,1.8,3.0,.600,0.6,5.1,5.7,3.6,2.4,0.6,1.8,4.2,22.3,,112,120,2019-20
32,Antonius Cleveland,SG,25,DAL,2,0,9,10.5,26.1,.400,0.0,0.0,,10.5,26.1,.400,0.0,0.0,,5.2,0.0,5.2,0.0,5.2,0.0,0.0,5.2,20.9,,92,117,2019-20
33,Seth Curry,SG,29,DAL,6,0,173,8.4,14.4,.585,2.7,5.7,.476,5.7,8.7,.656,1.4,1.4,1.000,0.5,2.4,3.0,2.2,1.6,0.0,2.2,3.8,20.9,,122,124,2019-20
34,Luka Dončić,PG,20,DAL,6,6,215,14.0,28.0,.500,3.5,9.6,.364,10.5,18.4,.571,9.2,14.0,.656,0.9,12.0,12.9,11.4,1.5,0.7,6.8,3.7,40.7,,111,119,2019-20
35,Dorian Finney-Smith,PF,26,DAL,6,6,191,5.7,12.8,.442,2.7,7.4,.367,3.0,5.4,.545,1.0,1.2,.800,3.0,5.4,8.4,4.7,1.7,0.7,2.2,5.4,15.0,,114,122,2019-20
36,Tim Hardaway,SG,27,DAL,6,6,204,9.2,21.9,.421,4.4,12.5,.352,4.8,9.5,.512,1.8,2.5,.727,0.7,4.2,4.8,2.5,0.5,0.0,0.7,3.7,24.7,,109,126,2019-20
37,Justin Jackson,PF,24,DAL,3,0,16,2.9,17.6,.167,0.0,8.8,.000,2.9,8.8,.333,5.9,11.8,.500,0.0,8.8,8.8,0.0,0.0,0.0,0.0,2.9,11.8,,57,125,2019-20
38,Michael Kidd-Gilchrist,PF,26,DAL,6,0,55,3.4,12.0,.286,1.7,7.7,.222,1.7,4.3,.400,3.4,5.1,.667,1.7,3.4,5.1,2.6,0.9,0.9,0.9,6.8,12.0,,97,124,2019-20
