,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON
0,Aron Baynes,C,32,BOS,51,18,16.1,2.1,4.4,.471,0.4,1.2,.344,1.6,3.2,.519,.518,1.0,1.2,.855,1.7,3.0,4.7,1.1,0.2,0.7,0.8,2.5,5.6,2018-19
1,Jaylen Brown,SG,22,BOS,74,25,25.9,5.0,10.7,.465,1.3,3.7,.344,3.7,7.0,.529,.525,1.8,2.7,.658,0.9,3.4,4.2,1.4,0.9,0.4,1.3,2.5,13.0,2018-19
2,PJ Dozier,SG,22,BOS,6,0,8.5,1.3,3.5,.381,0.3,1.3,.250,1.0,2.2,.462,.429,0.2,0.3,.500,1.0,1.8,2.8,0.8,0.3,0.0,0.0,0.3,3.2,2018-19
3,Gordon Hayward,PF,28,BOS,72,18,25.9,4.1,8.8,.466,1.1,3.2,.333,3.0,5.6,.542,.527,2.2,2.6,.834,0.7,3.8,4.5,3.4,0.9,0.3,1.5,1.4,11.5,2018-19
4,Al Horford,C,32,BOS,68,68,29.0,5.7,10.6,.535,1.1,3.0,.360,4.6,7.6,.604,.586,1.1,1.4,.821,1.8,5.0,6.7,4.2,0.9,1.3,1.5,1.9,13.6,2018-19
5,R.J. Hunter,SG,25,BOS,1,0,26.0,6.0,13.0,.462,4.0,10.0,.400,2.0,3.0,.667,.615,1.0,2.0,.500,1.0,2.0,3.0,3.0,1.0,0.0,0.0,3.0,17.0,2018-19
6,Kyrie Irving,PG,26,BOS,67,67,33.0,9.0,18.5,.487,2.6,6.5,.401,6.4,12.0,.533,.557,3.2,3.7,.873,1.1,3.9,5.0,6.9,1.5,0.5,2.6,2.5,23.8,2018-19
7,Greg Monroe,C,28,BOS,2,0,2.5,1.5,2.5,.600,0.0,0.0,,1.5,2.5,.600,.600,0.0,0.0,,1.5,0.0,1.5,0.5,0.0,0.0,0.0,0.0,3.0,2018-19
8,Marcus Morris,PF,29,BOS,75,53,27.9,5.0,11.3,.447,1.9,5.2,.375,3.1,6.1,.508,.533,1.9,2.3,.844,1.0,5.1,6.1,1.5,0.6,0.3,1.2,2.4,13.9,2018-19
9,Semi Ojeleye,PF,24,BOS,56,3,10.6,1.2,2.8,.424,0.5,1.6,.315,0.7,1.2,.565,.513,0.4,0.7,.615,0.4,1.1,1.5,0.4,0.2,0.1,0.3,0.8,3.3,2018-19
10,Terry Rozier,PG,24,BOS,79,14,22.7,3.3,8.4,.387,1.5,4.3,.353,1.8,4.2,.422,.477,0.9,1.2,.785,0.4,3.5,3.9,2.9,0.9,0.3,0.9,1.3,9.0,2018-19
11,Marcus Smart,SG,24,BOS,80,60,27.5,3.0,7.1,.422,1.6,4.3,.364,1.4,2.8,.511,.533,1.3,1.6,.806,0.7,2.2,2.9,4.0,1.8,0.4,1.5,2.5,8.9,2018-19
12,Jayson Tatum,SF,20,BOS,79,79,31.1,5.9,13.1,.450,1.5,3.9,.373,4.4,9.2,.483,.506,2.5,2.9,.855,0.9,5.2,6.0,2.1,1.1,0.7,1.5,2.1,15.7,2018-19
13,Daniel Theis,C,26,BOS,66,2,13.8,2.2,4.0,.549,0.4,1.0,.388,1.8,3.0,.603,.598,0.8,1.2,.737,1.3,2.1,3.4,1.0,0.3,0.6,0.5,2.4,5.7,2018-19
14,Brad Wanamaker,PG,29,BOS,36,0,9.5,1.4,2.9,.476,0.4,1.1,.410,0.9,1.8,.515,.552,0.7,0.8,.857,0.1,1.1,1.1,1.6,0.3,0.1,0.5,0.9,3.9,2018-19
15,Robert Williams,C,21,BOS,32,2,8.8,1.1,1.6,.706,0.0,0.0,,1.1,1.6,.706,.706,0.3,0.5,.600,0.8,1.7,2.5,0.2,0.3,1.3,0.3,1.1,2.5,2018-19
16,Guerschon Yabusele,PF,23,BOS,41,1,6.1,0.9,1.9,.455,0.2,0.7,.321,0.6,1.2,.531,.513,0.4,0.5,.682,0.6,0.7,1.3,0.4,0.2,0.2,0.4,0.8,2.3,2018-19
17,Jarrett Allen,C,20,BRK,80,80,26.2,4.2,7.1,.590,0.1,0.6,.133,4.1,6.5,.629,.595,2.5,3.5,.709,2.4,6.0,8.4,1.4,0.5,1.5,1.3,2.3,10.9,2018-19
18,DeMarre Carroll,PF,32,BRK,67,8,25.4,3.4,8.6,.395,1.6,4.6,.342,1.8,4.0,.457,.487,2.7,3.6,.760,1.0,4.2,5.2,1.3,0.5,0.1,1.1,1.7,11.1,2018-19
19,Allen Crabbe,SG,26,BRK,43,20,26.3,3.2,8.7,.367,2.3,6.0,.378,0.9,2.7,.342,.499,1.0,1.3,.732,0.4,3.1,3.4,1.1,0.5,0.3,1.1,2.4,9.6,2018-19
20,Mitch Creek,SF,26,BRK,4,0,9.0,1.3,2.5,.500,0.0,0.3,.000,1.3,2.3,.556,.500,1.3,1.8,.714,1.3,1.3,2.5,1.3,0.3,0.0,0.0,0.8,3.8,2018-19
21,Ed Davis,C,29,BRK,81,1,17.9,2.3,3.7,.616,0.0,0.0,.000,2.3,3.7,.620,.616,1.2,2.0,.617,2.7,5.9,8.6,0.8,0.4,0.4,0.8,2.8,5.8,2018-19
22,Spencer Dinwiddie,PG,25,BRK,68,4,28.1,5.4,12.2,.442,1.8,5.4,.335,3.6,6.7,.528,.517,4.2,5.2,.806,0.4,2.1,2.4,4.6,0.6,0.3,2.2,2.8,16.8,2018-19
23,Jared Dudley,PF,33,BRK,59,25,20.7,1.7,4.1,.423,0.9,2.6,.351,0.8,1.5,.545,.533,0.5,0.8,.696,0.6,2.1,2.6,1.4,0.6,0.3,0.7,2.2,4.9,2018-19
24,Kenneth Faried,C,29,BRK,12,0,9.8,2.1,3.5,.595,0.1,0.4,.200,2.0,3.1,.649,.607,0.8,1.3,.625,1.3,2.4,3.7,0.2,0.2,0.3,0.5,0.7,5.1,2018-19
25,Treveon Graham,SG,25,BRK,35,21,20.4,1.8,5.5,.335,1.1,3.7,.297,0.7,1.8,.413,.435,0.5,0.6,.818,0.7,2.4,3.1,1.0,0.4,0.2,0.5,1.9,5.3,2018-19
26,Joe Harris,SG,27,BRK,76,76,30.2,4.9,9.8,.500,2.4,5.1,.474,2.5,4.8,.528,.622,1.4,1.8,.827,0.7,3.1,3.8,2.4,0.5,0.2,1.6,2.4,13.7,2018-19
27,Rondae Hollis-Jefferson,SF,24,BRK,59,21,20.9,3.4,8.3,.411,0.2,0.8,.184,3.2,7.4,.436,.420,2.0,3.1,.645,1.4,3.8,5.3,1.6,0.7,0.5,1.2,1.8,8.9,2018-19
28,Rodions Kurucs,SF,20,BRK,63,46,20.5,3.2,7.1,.450,0.9,2.9,.315,2.3,4.2,.543,.514,1.1,1.5,.783,0.9,3.0,3.9,0.8,0.7,0.4,1.2,2.3,8.5,2018-19
29,Caris LeVert,SF,24,BRK,40,25,26.6,5.2,12.1,.429,1.2,3.9,.312,4.0,8.2,.483,.478,2.1,3.1,.691,0.9,2.9,3.8,3.9,1.1,0.4,1.7,1.9,13.7,2018-19
30,Tahjere McCall,SG,24,BRK,1,0,8.0,2.0,3.0,.667,0.0,1.0,.000,2.0,2.0,1.000,.667,0.0,1.0,.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,2018-19
31,DeMarre Carroll,SG,19,BRK,9,0,4.3,1.0,2.4,.409,0.1,1.1,.100,0.9,1.3,.667,.432,0.0,0.2,.000,0.1,0.4,0.6,0.2,0.2,0.0,0.4,0.1,2.1,2018-19
32,Shabazz Napier,PG,27,BRK,56,2,17.6,3.0,7.8,.389,1.4,4.1,.333,1.7,3.7,.449,.476,2.1,2.5,.833,0.3,1.5,1.8,2.6,0.7,0.3,1.2,1.2,9.4,2018-19
33,Theo Pinson,SG,23,BRK,18,0,11.7,1.4,4.1,.342,0.7,2.6,.261,0.7,1.5,.481,.425,1.1,1.2,.864,0.2,1.8,2.0,1.2,0.3,0.0,1.0,0.8,4.5,2018-19
34,D'Angelo Russell,PG,22,BRK,81,81,30.2,8.1,18.7,.434,2.9,7.8,.369,5.2,10.9,.482,.512,2.0,2.5,.780,0.7,3.2,3.9,7.0,1.2,0.2,3.1,1.7,21.1,2018-19
35,Alan Williams,PF,26,BRK,5,0,5.2,1.6,2.6,.615,0.0,0.2,.000,1.6,2.4,.667,.615,0.4,0.8,.500,0.8,3.0,3.8,0.6,0.2,0.0,0.2,0.4,3.6,2018-19
