,PLAYER,POS,TEAM
0,John Collins,PF,ATL
1,Kevin Huerter,SG,ATL
2,Solomon Hill,PF,ATL
3,Trae Young,PG,ATL
4,Clint Capela,C,ATL
5,Cam Reddish,SF,ATL
6,Brandon Goodwin,PG,ATL
7,De'Andre Hunter,SF,ATL
8,Danilo Gallinari,PF,ATL
9,Tony Snell,SG,ATL
10,Bruno Fernando,C,ATL
11,Rajon Rondo,PG,ATL
12,Skylar Mays (TW),SG,ATL
13,Bogdan Bogdanović,SG,ATL
14,Nathan Knight (TW),PF,ATL
15,Onyeka Okongwu,C,ATL
16,Kris Dunn,PG,ATL
17,Semi Ojeleye,PF,BOS
18,Jaylen Brown,SG,BOS
19,Daniel Theis,C,BOS
20,Tristan Thompson,PF,BOS
21,Jayson Tatum,SF,BOS
22,Grant Williams,PF,BOS
23,Payton Pritchard,SG,BOS
24,Jeff Teague,PG,BOS
25,Robert Williams,C,BOS
26,Javonte Green,SG,BOS
27,Marcus Smart,PG,BOS
28,Kemba Walker,PG,BOS
29,Aaron Nesmith,SF,BOS
30,Carsen Edwards,SG,BOS
31,Tremont Waters (TW),PG,BOS
32,Tacko Fall (TW),C,BOS
33,Romeo Langford,SG,BOS
34,Joe Harris,SF,BRK
35,Jeff Green,PF,BRK
36,Timothé Luwawu-Cabarrot,SF,BRK
37,DeAndre Jordan,C,BRK
38,Landry Shamet,SG,BRK
39,Bruce Brown,PG,BRK
40,Kyrie Irving,PG,BRK
41,Kevin Durant,PF,BRK
42,James Harden,SG,BRK
43,Tyler Johnson,SG,BRK
44,Reggie Perry (TW),PF,BRK
45,Chris Chiozza (TW),PG,BRK
46,Noah Vonleh,PF,BRK
47,Spencer Dinwiddie,SG,BRK
48,Andre Roberson,G-F,BRK
49,Iman Shumpert,G,BRK
50,Nicolas Claxton,C,BRK
51,Zach LaVine,SG,CHI
52,Coby White,PG,CHI
53,Patrick Williams,PF,CHI
54,Garrett Temple,SG,CHI
55,Thaddeus Young,PF,CHI
56,Denzel Valentine,SG,CHI
57,Daniel Gafford,PF,CHI
58,Wendell Carter Jr.,C,CHI
59,Tomáš Satoranský,SG,CHI
60,Otto Porter,SF,CHI
61,Lauri Markkanen,PF,CHI
62,Ryan Arcidiacono,PG,CHI
63,Chandler Hutchison,SF,CHI
64,Adam Mokoka (TW),SG,CHI
65,Luke Kornet,PF,CHI
66,Cristiano Felício,C,CHI
67,Devon Dotson (TW),PG,CHI
68,LaMelo Ball,PG,CHO
69,Miles Bridges,PF,CHO
70,Gordon Hayward,SF,CHO
71,Terry Rozier,SG,CHO
72,Bismack Biyombo,C,CHO
73,Devonte' Graham,PG,CHO
74,P.J. Washington,PF,CHO
75,Caleb Martin,SF,CHO
76,Cody Martin,SF,CHO
77,Malik Monk,SG,CHO
78,Cody Zeller,C,CHO
79,Jalen McDaniels,SF,CHO
80,Nick Richards,PF,CHO
81,Vernon Carey Jr.,C,CHO
82,Nate Darling (TW),SG,CHO
83,Grant Riller (TW),PG,CHO
84,Cedi Osman,SF,CLE
85,Collin Sexton,SG,CLE
86,Andre Drummond,C,CLE
87,Isaac Okoro,SG,CLE
88,Damyean Dotson,SG,CLE
89,Dean Wade,PF,CLE
90,Darius Garland,PG,CLE
91,JaVale McGee,C,CLE
92,Larry Nance Jr.,PF,CLE
93,Lamar Stevens (TW),PF,CLE
94,Jarrett Allen,C,CLE
95,Dylan Windler,SF,CLE
96,Taurean Prince,PF,CLE
97,Marques Bolden (TW),C,CLE
98,Kevin Love,PF,CLE
99,Matthew Dellavedova,PG,CLE
100,Luka Dončić,PG,DAL
101,Tim Hardaway Jr.,SG,DAL
102,Trey Burke,PG,DAL
103,Willie Cauley-Stein,C,DAL
104,Jalen Brunson,PG,DAL
105,James Johnson,PF,DAL
106,Josh Richardson,SG,DAL
107,Dorian Finney-Smith,PF,DAL
108,Kristaps Porziņģis,C,DAL
109,Maxi Kleber,PF,DAL
110,Dwight Powell,C,DAL
111,Josh Green,SG,DAL
112,Wesley Iwundu,SF,DAL
113,Boban Marjanović,C,DAL
114,Tyrell Terry,PG,DAL
115,Nate Hinton (TW),SG,DAL
116,Tyler Bey (TW),SF,DAL
117,Nikola Jokić,C,DEN
118,Monte Morris,PG,DEN
119,Jamal Murray,PG,DEN
120,Will Barton,SF,DEN
121,Paul Millsap,PF,DEN
122,Facundo Campazzo,PG,DEN
123,JaMychal Green,PF,DEN
124,R.J. Hampton,PG,DEN
125,Michael Porter Jr.,SF,DEN
126,Gary Harris,SG,DEN
127,Isaiah Hartenstein,C,DEN
128,PJ Dozier,SG,DEN
129,Zeke Nnaji,PF,DEN
130,Markus Howard (TW),SG,DEN
131,Vlatko Čančar,PF,DEN
132,Bol Bol,PF,DEN
133,Greg Whittington (TW),PF,DEN
134,Jerami Grant,SF,DET
135,Delon Wright,SG,DET
136,Sviatoslav Mykhailiuk,SF,DET
137,Josh Jackson,SG,DET
138,Mason Plumlee,C,DET
139,Saddiq Bey,SF,DET
140,Isaiah Stewart,C,DET
141,Sekou Doumbouya,PF,DET
142,Wayne Ellington,SG,DET
143,Blake Griffin,PF,DET
144,Jahlil Okafor,C,DET
145,Rodney McGruder,SG,DET
146,Saben Lee (TW),PG,DET
147,Killian Hayes,PG,DET
148,Frank Jackson (TW),PG,DET
149,Dennis Smith Jr.,PG,DET
150,Deividas Sirvydis,SG,DET
151,Andrew Wiggins,PF,GSW
152,Kelly Oubre Jr.,SF,GSW
153,Damion Lee,SG,GSW
154,Brad Wanamaker,PG,GSW
155,Stephen Curry,PG,GSW
156,Mychal Mulder,PG,GSW
157,Kent Bazemore,SF,GSW
158,Eric Paschall,PF,GSW
159,Draymond Green,PF,GSW
160,Kevon Looney,C,GSW
161,James Wiseman,C,GSW
162,Juan Toscano-Anderson (TW),SG,GSW
163,Jordan Poole,SG,GSW
164,Nico Mannion (TW),PG,GSW
165,Marquese Chriss,PF,GSW
166,Klay Thompson,SG,GSW
167,Alen Smailagić,PF,GSW
168,Jae'Sean Tate,SF,HOU
169,Sterling Brown,SG,HOU
170,P.J. Tucker,PF,HOU
171,DeMarcus Cousins,C,HOU
172,David Nwaba,SF,HOU
173,Eric Gordon,SG,HOU
174,Ben McLemore,SG,HOU
175,John Wall,PG,HOU
176,Mason Jones (TW),SG,HOU
177,Christian Wood,C,HOU
178,Danuel House,SF,HOU
179,Victor Oladipo,SG,HOU
180,Rodions Kurucs,SF,HOU
181,Kenyon Martin Jr.,SF,HOU
182,Kevin Porter Jr.,G,HOU
183,Dante Exum,G,HOU
184,Malcolm Brogdon,PG,IND
185,Domantas Sabonis,PF,IND
186,Justin Holiday,SG,IND
187,Aaron Holiday,PG,IND
188,Doug McDermott,PF,IND
189,Myles Turner,C,IND
190,T.J. McConnell,PG,IND
191,Jeremy Lamb,SG,IND
192,Edmond Sumner,SG,IND
193,Goga Bitadze,C,IND
194,JaKarr Sampson,PF,IND
195,Kelan Martin,SF,IND
196,Cassius Stanley (TW),SG,IND
197,T.J. Warren,SF,IND
198,Jalen Lecque,PG,IND
199,Brian Bowen (TW),SF,IND
200,Caris LeVert,G-F,IND
201,Ivica Zubac,C,LAC
202,Serge Ibaka,C,LAC
203,Lou Williams,PG,LAC
204,Luke Kennard,SG,LAC
205,Nicolas Batum,SF,LAC
206,Reggie Jackson,SG,LAC
207,Terance Mann,SG,LAC
208,Kawhi Leonard,SF,LAC
209,Marcus Morris,PF,LAC
210,Paul George,SF,LAC
211,Patrick Beverley,PG,LAC
212,Amir Coffey (TW),SG,LAC
213,Mfiondu Kabengele,PF,LAC
214,Patrick Patterson,PF,LAC
215,Daniel Oturu,C,LAC
216,Jay Scrubb (TW),SG,LAC
217,LeBron James,PG,LAL
218,Montrezl Harrell,C,LAL
219,Kyle Kuzma,SF,LAL
220,Marc Gasol,C,LAL
221,Dennis Schröder,SG,LAL
222,Kentavious Caldwell-Pope,SG,LAL
223,Talen Horton-Tucker,SG,LAL
224,Markieff Morris,PF,LAL
225,Wesley Matthews,SG,LAL
226,Alex Caruso,PG,LAL
227,Anthony Davis,PF,LAL
228,Quinn Cook,PG,LAL
