,PLAYER,TEAM
0,Aron Baynes,BOS
1,Jaylen Brown,BOS
2,Gordon Hayward,BOS
3,Al Horford,BOS
4,Kyrie Irving,BOS
5,Marcus Morris,BOS
6,Semi Ojeleye,BOS
7,Terry Rozier,BOS
8,Marcus Smart,BOS
9,Jayson Tatum,BOS
10,Daniel Theis,BOS
11,Brad Wanamaker,BOS
12,Robert Williams,BOS
13,Guerschon Yabusele,BOS
14,Jarrett Allen,BRK
15,DeMarre Carroll,BRK
16,Ed Davis,BRK
17,Spencer Dinwiddie,BRK
18,Jared Dudley,BRK
19,Treveon Graham,BRK
20,Joe Harris,BRK
21,Rondae Hollis-Jefferson,BRK
22,Rodions Kurucs,BRK
23,Caris LeVert,BRK
24,DeMarre Carroll,BRK
25,Shabazz Napier,BRK
26,Theo Pinson,BRK
27,D'Angelo Russell,BRK
28,Will Barton,DEN
29,Malik Beasley,DEN
30,Torrey Craig,DEN
31,Gary Harris,DEN
32,Juan Hernangómez,DEN
33,Nikola Jokić,DEN
34,Trey Lyles,DEN
35,Paul Millsap,DEN
36,Monte Morris,DEN
37,Jamal Murray,DEN
38,Mason Plumlee,DEN
39,Jarred Vanderbilt,DEN
40,Bruce Brown,DET
41,José Calderón,DET
42,Andre Drummond,DET
43,Wayne Ellington,DET
44,Langston Galloway,DET
45,Blake Griffin,DET
46,Reggie Jackson,DET
47,Luke Kennard,DET
48,Jon Leuer,DET
49,Thon Maker,DET
50,Zaza Pachulia,DET
51,Glenn Robinson,DET
52,Ish Smith,DET
53,Khyri Thomas,DET
54,Jordan Bell,GSW
55,Andrew Bogut,GSW
56,Quinn Cook,GSW
57,DeMarcus Cousins,GSW
58,Stephen Curry,GSW
59,Kevin Durant,GSW
60,Jacob Evans,GSW
61,Draymond Green,GSW
62,Andre Iguodala,GSW
63,Jonas Jerebko,GSW
64,Damian Jones,GSW
65,Shaun Livingston,GSW
66,Kevon Looney,GSW
67,Alfonzo McKinnie,GSW
68,Klay Thompson,GSW
69,Clint Capela,HOU
70,Gary Clark,HOU
71,Kenneth Faried,HOU
72,Eric Gordon,HOU
73,Gerald Green,HOU
74,James Harden,HOU
75,Isaiah Hartenstein,HOU
77,Danuel House,HOU
78,Chris Paul,HOU
79,Austin Rivers,HOU
80,Iman Shumpert,HOU
81,P.J. Tucker,HOU
82,Bojan Bogdanović,IND
83,Darren Collison,IND
84,Tyreke Evans,IND
85,Aaron Holiday,IND
86,Cory Joseph,IND
87,T.J. Leaf,IND
88,Wesley Matthews,IND
89,Doug McDermott,IND
90,Kyle O'Quinn,IND
91,Domantas Sabonis,IND
92,Edmond Sumner,IND
93,Myles Turner,IND
94,Thaddeus Young,IND
95,Patrick Beverley,LAC
96,Wilson Chandler,LAC
97,Danilo Gallinari,LAC
98,Shai Gilgeous-Alexander,LAC
99,JaMychal Green,LAC
100,Montrezl Harrell,LAC
101,Jerome Robinson,LAC
102,Landry Shamet,LAC
103,Garrett Temple,LAC
104,Sindarius Thornwell,LAC
105,Tyrone Wallace,LAC
106,Lou Williams,LAC
107,Ivica Zubac,LAC
108,Giannis Antetokounmpo,MIL
109,Eric Bledsoe,MIL
110,Malcolm Brogdon,MIL
111,Sterling Brown,MIL
112,Pat Connaughton,MIL
113,Tim Frazier,MIL
114,George Hill,MIL
115,Ersan İlyasova,MIL
116,Brook Lopez,MIL
117,Khris Middleton,MIL
118,Nikola Mirotić,MIL
119,Tony Snell,MIL
120,D.J. Wilson,MIL
121,Steven Adams,OKC
122,Deonte Burton,OKC
123,Raymond Felton,OKC
124,Terrance Ferguson,OKC
125,Paul George,OKC
126,Jerami Grant,OKC
127,Markieff Morris,OKC
128,Abdel Nader,OKC
129,Nerlens Noel,OKC
130,Dennis Schröder,OKC
131,Russell Westbrook,OKC
132,D.J. Augustin,ORL
133,Khem Birch,ORL
134,Michael Carter-Williams,ORL
135,Evan Fournier,ORL
136,Melvin Frazier,ORL
137,Aaron Gordon,ORL
138,Jerian Grant,ORL
139,Jonathan Isaac,ORL
140,Wesley Iwundu,ORL
141,Jarell Martin,ORL
142,Terrence Ross,ORL
143,Nikola Vučević,ORL
144,Jonah Bolden,PHI
145,Jimmy Butler,PHI
146,Joel Embiid,PHI
147,James Ennis,PHI
148,Tobias Harris,PHI
149,Amir Johnson,PHI
150,Furkan Korkmaz,PHI
151,Boban Marjanović,PHI
152,T.J. McConnell,PHI
153,Greg Monroe,PHI
154,J.J. Redick,PHI
155,Mike Scott,PHI
156,Ben Simmons,PHI
157,Jonathon Simmons,PHI
158,Zhaire Smith,PHI
159,Al-Farouq Aminu,POR
160,Zach Collins,POR
161,Seth Curry,POR
162,Maurice Harkless,POR
163,Rodney Hood,POR
164,Enes Kanter,POR
165,Skal Labissière,POR
166,Jake Layman,POR
167,Meyers Leonard,POR
168,Damian Lillard,POR
169,CJ McCollum,POR
170,Anfernee Simons,POR
171,Evan Turner,POR
172,LaMarcus Aldridge,SAS
173,Marco Belinelli,SAS
174,Donatas Motiejūnas,SAS
175,Dante Cunningham,SAS
176,DeMar DeRozan,SAS
177,Bryn Forbes,SAS
178,Rudy Gay,SAS
179,Patty Mills,SAS
180,Donatas Motiejūnas,SAS
181,Jakob Poeltl,SAS
182,Quincy Pondexter,SAS
183,Lonnie Walker,SAS
184,Derrick White,SAS
185,Chris Boucher,TOR
186,Marc Gasol,TOR
187,Danny Green,TOR
188,Serge Ibaka,TOR
189,Kawhi Leonard,TOR
190,Jeremy Lin,TOR
191,Kyle Lowry,TOR
192,Patrick McCaw,TOR
193,Jodie Meeks,TOR
194,Malcolm Miller,TOR
195,Eric Moreland,TOR
196,Norman Powell,TOR
197,Pascal Siakam,TOR
198,Fred VanVleet,TOR
199,Grayson Allen,UTA
200,Jae Crowder,UTA
201,Derrick Favors,UTA
202,Rudy Gobert,UTA
203,Joe Ingles,UTA
204,Kyle Korver,UTA
205,Donovan Mitchell,UTA
206,Raul Neto,UTA
207,Georges Niang,UTA
208,Royce O'Neale,UTA
209,Ricky Rubio,UTA
210,Thabo Sefolosha,UTA
211,Ekpe Udoh,UTA
